Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
1	0.0000	13.439180	-375.966949	1011.279907	69.669731	-370.153809	1013.140259	-11.370738	-353.843658	966.339844	42.504963	-348.583038	967.850525	37.981030	-287.726379	865.926514	157.554108	-758.072876	1361.160645	131.136246	-777.826904	1348.313232	184.362579	-705.708557	1356.470459	91.999084	-776.191223	1314.557373	147.803055	-704.257690	1321.967285
2	0.0100	13.454009	-375.963257	1011.303528	69.686218	-370.153229	1013.160034	-11.355200	-353.840820	966.366638	42.521355	-348.576263	967.876099	37.992111	-287.718018	865.942322	158.884735	-758.609741	1359.730835	132.391678	-778.124268	1346.892212	185.721298	-706.500244	1355.302490	93.246109	-776.259583	1313.151733	149.063248	-704.856873	1320.833252
3	0.0200	13.468742	-375.959534	1011.326965	69.702576	-370.152588	1013.179626	-11.339783	-353.837952	966.393188	42.537605	-348.569458	967.901489	38.003090	-287.709686	865.957886	160.155502	-759.150818	1358.319946	133.599503	-778.437134	1345.464844	187.022659	-707.271362	1354.176514	94.457619	-776.333496	1311.731201	150.289017	-705.424316	1319.730713
4	0.0300	13.483382	-375.955780	1011.350220	69.718819	-370.151886	1013.199036	-11.324490	-353.835052	966.419495	42.553707	-348.562683	967.926636	38.013954	-287.701385	865.973328	161.366455	-759.695984	1356.927856	134.759705	-778.765259	1344.031006	188.266724	-708.021790	1353.092651	95.633606	-776.412903	1310.295776	151.480392	-705.960083	1318.659668
5	0.0400	13.497928	-375.951996	1011.373291	69.734940	-370.151154	1013.218262	-11.309318	-353.832092	966.445618	42.569664	-348.555878	967.951599	38.024715	-287.693176	865.988525	162.517715	-760.244873	1355.555054	135.872345	-779.108337	1342.591309	189.453674	-708.751343	1352.050903	96.774071	-776.497559	1308.846069	152.637466	-706.463989	1317.620239
6	0.0500	13.512379	-375.948181	1011.396179	69.750938	-370.150360	1013.237366	-11.294270	-353.829132	966.471497	42.585480	-348.549072	967.976318	38.035366	-287.684967	866.003479	163.609558	-760.796936	1354.201660	136.937485	-779.465698	1341.146240	190.583893	-709.459656	1351.051147	97.878960	-776.586914	1307.382813	153.760406	-706.935852	1316.612305
7	0.0600	13.526736	-375.944336	1011.418884	69.766815	-370.149506	1013.256287	-11.279343	-353.826111	966.497131	42.601147	-348.542267	968.000793	38.045906	-287.676849	866.018311	164.642456	-761.350891	1352.868530	137.955322	-779.835938	1339.697388	191.658035	-710.145935	1350.093018	98.948257	-776.679993	1305.907349	154.849503	-707.375244	1315.635864
8	0.0700	13.540999	-375.940460	1011.441406	69.782570	-370.148590	1013.275085	-11.264540	-353.823059	966.522522	42.616669	-348.535461	968.025024	38.056339	-287.668732	866.032898	165.617188	-761.904968	1351.556519	138.926132	-780.217041	1338.246460	192.677185	-710.809204	1349.176514	99.981903	-776.775085	1304.422119	155.905243	-707.781494	1314.690918
9	0.0800	13.555168	-375.936554	1011.463745	69.798203	-370.147614	1013.293701	-11.249858	-353.819977	966.547729	42.632050	-348.528656	968.049011	38.066662	-287.660706	866.047241	166.534897	-762.456604	1350.267212	139.850388	-780.606079	1336.796387	193.642853	-711.447876	1348.301025	100.979881	-776.870117	1302.930054	156.928314	-708.153625	1313.777344
10	0.0900	13.569242	-375.932617	1011.485901	69.813713	-370.146606	1013.312134	-11.235300	-353.816864	966.572693	42.647282	-348.521851	968.072815	38.076878	-287.652710	866.061462	167.397186	-763.002319	1349.002441	140.728775	-780.999146	1335.350830	194.557098	-712.059814	1347.466187	101.942223	-776.961975	1301.435425	157.919678	-708.490417	1312.895264
11	0.1000	13.583223	-375.928650	1011.507874	69.829102	-370.145508	1013.330444	-11.220863	-353.813721	966.597412	42.662373	-348.515045	968.096375	38.086983	-287.644745	866.075439	168.206146	-763.537598	1347.764526	141.562241	-781.391174	1333.914429	195.422577	-712.642273	1346.670898	102.869026	-777.046875	1299.943481	158.880508	-708.790222	1312.044312
12	0.1100	13.597110	-375.924652	1011.529724	69.844368	-370.144379	1013.348572	-11.206550	-353.810516	966.621887	42.677315	-348.508240	968.119690	38.096981	-287.636841	866.089172	168.964401	-764.057190	1346.556152	142.352097	-781.776062	1332.492676	196.242538	-713.192078	1345.914551	103.760529	-777.120178	1298.460327	159.812317	-709.050964	1311.224487
13	0.1200	13.610902	-375.920624	1011.551331	69.859512	-370.143188	1013.366577	-11.192359	-353.807281	966.646179	42.692112	-348.501434	968.142761	38.106873	-287.628998	866.102783	169.675171	-764.554749	1345.380493	143.099976	-782.146851	1331.091675	197.020844	-713.705139	1345.195801	104.617126	-777.176392	1296.993164	160.716888	-709.270325	1310.435547
14	0.1300	13.624600	-375.916565	1011.572815	69.874535	-370.141968	1013.384338	-11.178290	-353.804016	966.670227	42.706768	-348.494598	968.165649	38.116650	-287.621185	866.116150	170.342224	-765.023132	1344.240723	143.807968	-782.495300	1329.718506	197.761917	-714.177002	1344.513428	105.439445	-777.209351	1295.549683	161.596268	-709.445496	1309.677124
15	0.1400	13.638205	-375.912445	1011.594055	69.889435	-370.140656	1013.401978	-11.164345	-353.800720	966.694092	42.721275	-348.487793	968.188293	38.126324	-287.613434	866.129272	170.969940	-765.454285	1343.140503	144.478577	-782.812683	1328.380371	198.470688	-714.602722	1343.865601	106.228394	-777.212280	1294.138672	162.452774	-709.573364	1308.948730
