Trajectories
100
		head:TopLeft			head:TopRight			head:BottomLeft			head:BottomRight			head:Whole			head:Brow			head:Tip			head:StickTopLeft			head:StickTopRight			head:StickBottomLeft			head:StickBottomRight			head:StickEnd			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	-34.918228	-340.914337	1007.691406	21.228184	-344.835266	1010.761353	-54.545918	-313.563232	963.461182	-0.745814	-317.275970	966.332092				7.427955	-253.154877	865.652832	195.250931	-416.516907	1221.889771	211.012711	-430.047333	1194.079346	151.131653	-381.723419	1238.238647	207.420029	-433.781250	1142.911621	148.469604	-383.461731	1188.164307			
2	0	-34.919044	-340.913422	1007.691528	21.227184	-344.833984	1010.761230	-54.546577	-313.561218	963.461731	-0.746491	-317.275238	966.331970				7.427659	-253.154373	865.652710	194.694504	-414.806274	1222.484253	210.545410	-428.541046	1194.776855	150.514557	-380.016571	1238.559448	207.037933	-432.634827	1143.559814	147.955353	-382.120758	1188.480713			
3	0	-34.919876	-340.912506	1007.691650	21.226179	-344.832703	1010.761230	-54.547249	-313.559265	963.462341	-0.747179	-317.274445	966.331848				7.427358	-253.153854	865.652588	194.140381	-413.173096	1223.055908	210.076462	-427.098572	1195.448120	149.902786	-378.388428	1238.869263	206.652756	-431.526642	1144.189087	147.441711	-380.831787	1188.787231			
4	0	-34.920723	-340.911560	1007.691650	21.225164	-344.831421	1010.761169	-54.547935	-313.557281	963.462952	-0.747877	-317.273712	966.331726				7.427049	-253.153320	865.652466	193.588501	-411.617401	1223.604858	209.605865	-425.719879	1196.093262	149.296280	-376.839020	1239.168091	206.264496	-430.456726	1144.799438	146.928650	-379.594818	1189.083496			
5	0	-34.921570	-340.910675	1007.691711	21.224138	-344.830170	1010.761047	-54.548630	-313.555298	963.463501	-0.748585	-317.272949	966.331604				7.426736	-253.152847	865.652344	193.038788	-410.138977	1224.130859	209.133560	-424.404877	1196.712158	148.694977	-375.368103	1239.455811	205.873108	-429.424988	1145.390869	146.416122	-378.409851	1189.369629			
6	0	-34.922436	-340.909790	1007.691833	21.223103	-344.828918	1010.761047	-54.549328	-313.553375	963.464050	-0.749302	-317.272247	966.331421				7.426415	-253.152344	865.652222	192.491104	-408.737549	1224.634277	208.659454	-423.153320	1197.305054	148.098633	-373.975525	1239.732788	205.478592	-428.431458	1145.963501	145.904083	-377.276733	1189.645874			
7	0	-34.923313	-340.908875	1007.691956	21.222059	-344.827637	1010.760925	-54.550049	-313.551422	963.464600	-0.750031	-317.271515	966.331299				7.426089	-253.151871	865.652100	191.945084	-407.412537	1225.115356	208.183350	-421.964691	1197.872314	147.506912	-372.660492	1239.998657	205.080902	-427.475861	1146.517456	145.392365	-376.195068	1189.912231			
8	0	-34.924194	-340.907990	1007.691956	21.221004	-344.826416	1010.760803	-54.550770	-313.549530	963.465210	-0.750769	-317.270782	966.331177				7.425756	-253.151382	865.651978	191.400360	-406.162933	1225.573975	207.704971	-420.838318	1198.414062	146.919250	-371.422028	1240.254028	204.679993	-426.558075	1147.052734	144.880768	-375.164459	1190.168335			
9	0	-34.925087	-340.907196	1007.692078	21.219938	-344.825226	1010.760803	-54.551510	-313.547607	963.465759	-0.751517	-317.270111	966.331055				7.425418	-253.150909	865.651855	190.856384	-404.987427	1226.011108	207.224060	-419.773071	1198.931152	146.334976	-370.258575	1240.498657	204.275848	-425.677612	1147.569824	144.369064	-374.184113	1190.415039			
10	0	-34.925999	-340.906311	1007.692200	21.218866	-344.824036	1010.760681	-54.552258	-313.545776	963.466309	-0.752275	-317.269409	966.330872				7.425074	-253.150436	865.651733	190.312378	-403.883911	1226.427246	206.740128	-418.767334	1199.424072	145.753174	-369.167908	1240.733032	203.868378	-424.834167	1148.068726	143.856949	-373.252991	1190.651733			
11	0	-34.926914	-340.905518	1007.692200	21.217783	-344.822845	1010.760681	-54.553017	-313.543884	963.466797	-0.753044	-317.268768	966.330688				7.424722	-253.149994	865.651611	189.767639	-402.849731	1226.822998	206.252762	-417.819031	1199.893677	145.172836	-368.147156	1240.957153	203.457535	-424.027008	1148.549927	143.343994	-372.369781	1190.879150			
12	0	-34.927837	-340.904724	1007.692322	21.216690	-344.821686	1010.760559	-54.553780	-313.542053	963.467407	-0.753823	-317.268066	966.330566				7.424365	-253.149536	865.651489	189.221313	-401.881531	1227.199585	205.761551	-416.925598	1200.341309	144.592728	-367.192780	1241.171509	203.043304	-423.255341	1149.013916	142.829865	-371.532898	1191.097290			
13	0	-34.928776	-340.903870	1007.692444	21.215588	-344.820557	1010.760437	-54.554558	-313.540222	963.467896	-0.754611	-317.267456	966.330383				7.424002	-253.149063	865.651428	188.672516	-400.975342	1227.557983	205.266052	-416.084045	1200.768433	144.011673	-366.300476	1241.376343	202.625687	-422.518341	1149.461304	142.314178	-370.740356	1191.306519			
14	0	-34.929726	-340.903137	1007.692444	21.214476	-344.819458	1010.760437	-54.555347	-313.538361	963.468445	-0.755410	-317.266785	966.330261				7.423632	-253.148651	865.651306	188.120499	-400.126556	1227.899780	204.766006	-415.290833	1201.176270	143.428482	-365.465424	1241.572632	202.204758	-421.814819	1149.892334	141.796555	-369.989990	1191.506958			
