Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
1	0.0000	4.533658	-366.099243	1012.172668	60.755859	-360.733917	1015.501099	-18.652781	-345.458893	965.892334	35.094433	-340.301788	968.740967	34.273811	-283.181763	863.534058	279.750763	-353.815308	1214.367310	239.805237	-312.623962	1225.795410	290.864563	-377.015533	1190.184204	229.081512	-329.386627	1179.541748	278.745453	-395.208679	1143.248779
2	0.0100	4.544958	-366.120819	1012.177795	60.766014	-360.755920	1015.504456	-18.643827	-345.476685	965.899597	35.103962	-340.319489	968.746704	34.278263	-283.191376	863.544312	279.615082	-353.935944	1214.423950	239.667694	-312.759155	1225.840332	290.730469	-377.108215	1190.247192	228.951004	-329.490021	1179.592041	278.644073	-395.239075	1143.317017
3	0.0200	4.556319	-366.142334	1012.182922	60.776230	-360.777832	1015.507813	-18.634823	-345.494385	965.906799	35.113544	-340.337128	968.752441	34.282745	-283.200928	863.554504	279.473297	-354.052277	1214.478760	239.522461	-312.891022	1225.883789	290.591888	-377.196930	1190.307739	228.816055	-329.589050	1179.638672	278.538239	-395.271332	1143.381592
4	0.0300	4.567741	-366.163727	1012.187988	60.786510	-360.799683	1015.511108	-18.625765	-345.511993	965.914001	35.123173	-340.354675	968.758179	34.287254	-283.210480	863.564636	279.325409	-354.164307	1214.531860	239.369537	-313.019562	1225.925781	290.448792	-377.281708	1190.365601	228.676682	-329.683716	1179.681396	278.427948	-395.305389	1143.442505
5	0.0400	4.579224	-366.185059	1012.193054	60.796856	-360.821442	1015.514343	-18.616655	-345.529572	965.921143	35.132854	-340.372162	968.763794	34.291798	-283.219971	863.574768	279.171417	-354.272003	1214.583008	239.208969	-313.144745	1225.966309	290.301208	-377.362579	1190.421021	228.532867	-329.774048	1179.720215	278.313171	-395.341309	1143.499756
6	0.0500	4.590767	-366.206299	1012.198059	60.807262	-360.843079	1015.517517	-18.607496	-345.547058	965.928284	35.142586	-340.389618	968.769409	34.296368	-283.229431	863.584778	279.011414	-354.375305	1214.632324	239.040817	-313.266418	1226.005371	290.149170	-377.439453	1190.473755	228.384659	-329.860016	1179.755249	278.193939	-395.379059	1143.553223
7	0.0600	4.602373	-366.227448	1012.203125	60.817734	-360.864655	1015.520691	-18.598284	-345.564484	965.935425	35.152367	-340.406982	968.774963	34.300968	-283.238861	863.594727	278.845459	-354.474152	1214.679810	238.865189	-313.384521	1226.042725	289.992676	-377.512360	1190.523804	228.232086	-329.941559	1179.786499	278.070282	-395.418610	1143.603027
8	0.0700	4.614038	-366.248505	1012.208069	60.828270	-360.886139	1015.523804	-18.589018	-345.581848	965.942505	35.162197	-340.424255	968.780518	34.305599	-283.248291	863.604675	278.673615	-354.568359	1214.725342	238.682281	-313.498749	1226.078369	289.831818	-377.581207	1190.571411	228.075195	-330.018677	1179.813721	277.942139	-395.460022	1143.649170
9	0.0800	4.625765	-366.269501	1012.213013	60.838867	-360.907532	1015.526855	-18.579702	-345.599152	965.949585	35.172077	-340.441498	968.786011	34.310261	-283.257660	863.614502	278.496124	-354.657776	1214.768677	238.492355	-313.608826	1226.112061	289.666656	-377.645966	1190.616089	227.914078	-330.091278	1179.836914	277.809570	-395.503235	1143.691650
10	0.0900	4.637553	-366.290405	1012.217957	60.849529	-360.928864	1015.529907	-18.570333	-345.616364	965.956604	35.182011	-340.458649	968.791443	34.314953	-283.266998	863.624268	278.313141	-354.742157	1214.809814	238.295731	-313.714355	1226.143677	289.497314	-377.706543	1190.658081	227.748856	-330.159302	1179.856201	277.672577	-395.548309	1143.730347
11	0.1000	4.649402	-366.311218	1012.222900	60.860256	-360.950073	1015.532898	-18.560915	-345.633514	965.963623	35.191990	-340.475739	968.796814	34.319672	-283.276306	863.634033	278.125000	-354.821228	1214.848511	238.092850	-313.814819	1226.172974	289.323914	-377.762909	1190.697266	227.579636	-330.222717	1179.871216	277.531189	-395.595215	1143.765503
12	0.1100	4.661312	-366.331940	1012.227722	60.871044	-360.971222	1015.535889	-18.551443	-345.650604	965.970642	35.202023	-340.492767	968.802185	34.324425	-283.285553	863.643677	277.932007	-354.894653	1214.884644	237.884262	-313.909698	1226.199341	289.146637	-377.815002	1190.733398	227.406586	-330.281433	1179.881958	277.385406	-395.643951	1143.796753
13	0.1200	4.673283	-366.352570	1012.232605	60.881901	-360.992249	1015.538818	-18.541920	-345.667603	965.977600	35.212105	-340.509735	968.807495	34.329205	-283.294800	863.653320	277.734528	-354.962097	1214.917725	237.670532	-313.998322	1226.222534	288.965607	-377.862701	1190.766235	227.229904	-330.335388	1179.888428	277.235260	-395.694550	1143.824463
14	0.1300	4.685314	-366.373138	1012.237427	60.892815	-361.013214	1015.541687	-18.532343	-345.684540	965.984497	35.222240	-340.526611	968.812805	34.334015	-283.304016	863.662842	277.533051	-355.023224	1214.947632	237.452377	-314.080048	1226.242065	288.781097	-377.906036	1190.795898	227.049774	-330.384583	1179.890259	277.080780	-395.747070	1143.848389
15	0.1400	4.697407	-366.393616	1012.242249	60.903797	-361.034088	1015.544495	-18.522717	-345.701416	965.991455	35.232422	-340.543457	968.818054	34.338852	-283.313202	863.672363	277.328003	-355.077728	1214.973755	237.230515	-314.154236	1226.257324	288.593292	-377.945038	1190.821899	226.866409	-330.429077	1179.887573	276.921997	-395.801453	1143.868530
16	0.1500	4.709561	-366.413971	1012.247009	60.914841	-361.054871	1015.547302	-18.513037	-345.718231	965.998352	35.242657	-340.560211	968.823242	34.343723	-283.322327	863.681824	277.119904	-355.125336	1214.995972	237.005707	-314.220154	1226.267944	288.402405	-377.979706	1190.844238	226.680008	-330.468872	1179.879883	276.758911	-395.857788	1143.885010
17	0.1600	4.721776	-366.434296	1012.251709	60.925949	-361.075592	1015.550110	-18.503305	-345.734985	966.005188	35.252937	-340.576904	968.828369	34.348621	-283.331451	863.691162	276.909210	-355.165833	1215.013794	236.778763	-314.277252	1226.273071	288.208618	-378.010193	1190.862671	226.490814	-330.504150	1179.867310	276.591614	-395.916107	1143.897705
